G_01_L2_score,U_02_L2_score,U_03_L2_score,CF_01_L2_score,CF_02_L2_score,CF_04_L2_score,CF_05_L2_score,CF_06_L2_score,CF_07_L2_score,C_01_L2_score,C_02_L2_score,EF_01_L2_score,EF_03_L2_score,EF_05_L2_score,EF_06_L2_score,IT_03_L2_score,IT_04_L2_score,G_01_L3_score,IT_01_L3_score,EF_02_Publication_L3_score,EF_02_Cloud_L3_score,EF_02_LabManagement_L3_score,EF_02_DataAnalysis_L3_score,EF_02_DataVisual_L3_score,EF_02_DataImport_L3_score,EF_02_DataManagementPlanning_L3_score,EF_02_Coding_L3_score,EF_02_RefManagement_L3_score,EF_02_DocFormatting_L3_score,EF_02_Collab_L3_score,EF_02_LES_L3_score,EF_02_PM_L3_score
0.5,0,0.1,0.21200000000000002,1.0,0.6,0.632,0.4,0.182,0.481,0.0,0.24,0.0,0.0,0.539,0.7270000000000001,0.6920000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.883,1.0,0.45,0.685,0.637,0.553,0.851,0.4,0.64,0.375,0.77,0.0,0.8180000000000001,0.8460000000000001,0,1.0,0.715,1.0,0.0,0.75,0.75,0.667,1,1.0,1.0,1.0,0.572,0,0.667
0.0,0,0.7,0.788,1.0,0.45,0.843,0.675,0.446,0.851,0.4,0.72,0.0,0.77,0.308,0.8180000000000001,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.143,0,0.0
0.0,0,0.7,0.703,1.0,0.6,0.843,0.675,0.446,0.851,0.6000000000000001,0.64,0.375,0.385,0.0,1.0,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.252,1.0,0.85,0.0,0.581,0.292,0.37,0.2,0.24,0.125,0.385,0.0,0.636,0.8460000000000001,0,0.0,0.0,0.0,0.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.7,0.668,1.0,0.6,0.685,0.5630000000000001,0.553,0.851,0.6000000000000001,0.56,0.0,0.385,0.0,0.545,1.0,0,0.0,0.715,1.0,0.0,0.5,0.75,1.0,1,1.0,1.0,1.0,0.715,0,0.667
0.0,0,0.7,0.089,0.405,0.2,0.685,0.474,0.446,0.851,0.6000000000000001,0.84,0.5,0.231,0.46199999999999997,0.7270000000000001,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.5,0,0.7,0.28500000000000003,0.0,0.7,0.0,0.034,0.534,0.481,0.0,0.0,0.0,0.0,0.0,0.7270000000000001,0.8460000000000001,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.7,0.551,0.5730000000000001,0.45,0.632,0.508,0.446,0.851,0.4,0.64,0.5,0.385,0.0,0.636,0.308,0,1.0,0.0,0.0,0.0,0.0,0.25,0.333,0,0.0,0.0,0.0,0.0,0,0.0
0.0,0,0.1,0.188,0.5940000000000001,0.45,0.632,0.508,0.446,0.851,0.4,0.08,0.0,0.385,0.0,0.7270000000000001,0.8460000000000001,0,0.0,0.0,0.0,0.0,0.0,0.5,0.333,0,0.0,0.0,0.667,0.0,0,0.0
0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0
