ID,G_01_L2_score,U_02_L2_score,U_03_L2_score,CF_01_L2_score,CF_02_L2_score,CF_04_L2_score,CF_05_L2_score,CF_06_L2_score,CF_07_L2_score,C_01_L2_score,C_02_L2_score,EF_01_L2_score,EF_03_L2_score,EF_05_L2_score,EF_06_L2_score,IT_03_L2_score,IT_04_L2_score,G_01_L3_score,IT_01_L3_score,EF_02_Publication_L3_score,EF_02_Cloud_L3_score,EF_02_LabManagement_L3_score,EF_02_DataAnalysis_L3_score,EF_02_DataVisual_L3_score,EF_02_DataImport_L3_score,EF_02_DataManagementPlanning_L3_score,EF_02_Coding_L3_score,EF_02_RefManagement_L3_score,EF_02_DocFormatting_L3_score,EF_02_Collab_L3_score,EF_02_LES_L3_score,EF_02_PM_L3_score,b1_score,b2_score,b3_score,b4_score,b5_score,b6_score,overall_score
ELN-26,0.5,0,0.1,0.2575,0.0321,0.0,0.2105,0.0,0.0,0.0,0.0,0.4,0.5,0.0,0.3077,0.5455,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0428,0.0222,0.0,0.0183,0.0371,0.1275
ELN-66,0.0,0,0.7,0.196,0.0,0.2,0.6316,0.4004,0.5528,0.8518,0.6,0.56,0.5,0.3846,0.0,0.1818,0.3077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0155,0.0657,0.0256,0.008,0.1148
ELN-64,0.5,0,0.1,0.1347,0.249,0.4,0.6316,0.5799,0.5335,0.4815,0.0,0.4,0.5,0.7692,0.2308,0.7273,0.5385,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0,0.0249,0.0286,0.0183,0.0321,0.111
ELN-68,0.0,0,0.0,0.0341,1.0,0.25,0.6316,0.0742,0.212,0.2962,0.0,0.08,0.0,0.0,0.1538,0.5455,0.8462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0598,0.0176,0.0037,0.0241,0.1051
ELN-18,0.5,0,0.7,0.2851,0.0,0.7,0.0,0.034,0.5335,0.4815,0.0,0.0,0.0,0.0,0.0,0.7273,0.8462,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0072,0.0,0.0226,0.0286,0.0,0.0321,0.0904
ELN-65,0.0,0,0.0,0.1843,0.0,0.0,0.6316,0.2603,0.212,0.0,0.2,0.48,0.5,0.0,0.4615,0.5455,0.3077,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0146,0.005,0.0219,0.0241,0.0656
ELN-55,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.4286,0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0,0.0072
ELN-44,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
ELN-61,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.005
ELN-22,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0037
ELN-21,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0037,0.0,0.0037
ELN-63,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ELN-56,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
